Heading,Sentence,Cleaned Heading,Cleaned Sentence,Combined Cleaned Text,Corrected Text
CSC 112: PRINCIPLES OF COMPUTER ORGANIZATION (2 UNITS) - C ,"Basic concepts of simple machine arc hitecture, major components, functional relationship between the components of the processing UNITS (contro ls, memory and A.L.U) stored program concepts, representation of instruction in computer memory, addressing, instruction cycle. Computer design: organization, design operation and programming assemblers, program loaders and relocation. Levels of machine de sign; gates; register and processor levels. CPU design, instruction sets, von Neumann architecture, multiplication and division algorithms and implem entation, floating point processors. Parallelism, multiprocessor etc. control unit design, hardwired and mi cro-programmed control. Memory design, hierarchical memory design, cache, associative and inter leaved memory.",csc 112 principles computer organization 2 unit c,basic concept simple machine arc hitecture major component functional relationship component processing unit contro ls memory a.l.u store program concept representation instruction computer memory addressing instruction cycle computer design organization design operation programming assembler program loader relocation level machine de sign gate register processor level cpu design instruction set von neumann architecture multiplication division algorithm implem entation float point processor parallelism multiprocessor etc control unit design hardwired mi cro program control memory design hierarchical memory design cache associative inter leave memory,csc 112 principles computer organization 2 unit c basic concept simple machine arc hitecture major component functional relationship component processing unit contro ls memory a.l.u store program concept representation instruction computer memory addressing instruction cycle computer design organization design operation programming assembler program loader relocation level machine de sign gate register processor level cpu design instruction set von neumann architecture multiplication division algorithm implem entation float point processor parallelism multiprocessor etc control unit design hardwired mi cro program control memory design hierarchical memory design cache associative inter leave memory,0
(2 UNITS)  ,"Meaning and history of Computer Science. Generations of computers. Computer Hardware: functional components, Modern input and output units. Computer Software: Operating Systems, Application Packages. Pr ogram Development tools: Flow charts and algorithms. Introduction to using personal computers hardware and software. Using personal computers as effective problem solving tools for the present and the future. C omputer application areas and technological tr ends.",2 unit,meaning history computer science generation computer computer hardware functional component modern input output unit computer software operating systems application packages pr ogram development tool flow chart algorithm introduction use personal computer hardware software use personal computer effective problem solve tool present future c omputer application area technological tr end,2 unit meaning history computer science generation computer computer hardware functional component modern input output unit computer software operating systems application packages pr ogram development tool flow chart algorithm introduction use personal computer hardware software use personal computer effective problem solve tool present future c omputer application area technological tr end,0
CSC 120: COMPUTER AS A PROBLEM SOLVING TOOL (3 UNITS) - C ,"Concept of problem solving. Problem solvin g steps i.e. Problem identification (e.g. in Management, science and Engineering), Definition of users’ needs/requirement, Identification of solution  models, Algorithm design, Coding and Test running, Implementation and documentation. Classes of problems .  Effective approach to problem solving using computer programming  tools i.e. Flowcharts, Algorithm design, Decision Table etc.   The role of algorithm  in problem solving process ). Formulation of alternative solutions to problems and their computer models. Number systems and their representation. Codes, which detection and correction.",csc 120 computer problem solving tool 3 unit c,concept problem solve problem solvin g step i.e. problem identification e.g. management science engineering definition user ’ need requirement identification solution model algorithm design coding test run implementation documentation class problem effective approach problem solve use computer programming tool i.e. flowcharts algorithm design decision table etc role algorithm problem solve process formulation alternative solution problem computer model number system representation code detection correction,csc 120 computer problem solving tool 3 unit c concept problem solve problem solvin g step i.e. problem identification e.g. management science engineering definition user ’ need requirement identification solution model algorithm design coding test run implementation documentation class problem effective approach problem solve use computer programming tool i.e. flowcharts algorithm design decision table etc role algorithm problem solve process formulation alternative solution problem computer model number system representation code detection correction,0
CSC 132: PRINCIPLES OF PROGRAMMING LANGUAGES I (2 UNITS) - C ,"Overvie w of programming languages: History of programming languages, Brief survey of programming paradigms (Proced ural languages, Object -oriented languages, Functional languages, Declarative – non-algorithmic languages, Scripting languages). Study of the features  of a common and popular programming language. Introducing to language translation: Comparison of interpret ers and compilers etc",csc 132 principle programming languages 2 unit c,overvie w programming language history programming language brief survey programming paradigm proced ural language object -oriente language functional language declarative – non algorithmic language scripting language study feature common popular programming language introduce language translation comparison interpret er compiler etc,csc 132 principle programming languages 2 unit c overvie w programming language history programming language brief survey programming paradigm proced ural language object -oriente language functional language declarative – non algorithmic language scripting language study feature common popular programming language introduce language translation comparison interpret er compiler etc,0
CSC04: INTRODUCTION TO DISCRETE MATHEMATICS (2 UNITS) - C ,"Computer appreciations and experie nce with common application software.  Word processing: Business documents and publications. Documents and publications used in business. MS Word: Open a new documents, format documents, change fonts size and type, insert page numbers, italicise, boldface,  conversion for pdf files, equations, creation of CV, header and footnotes, mail merge, tables, tracking changes, references and bibliography, etc.Spreadsheet -  Excel: Create new spreadsheet, create records related, use f ormula, macros, format cells, merg e cells, split cells, import text files, conversion of spreadsheet files to comma separated files, export as pdf files, charts, and graphs and business applications, etc. Desktop publishing: Business publications (Created using MS Publisher). Use desktop publishing software to create business publications. The internet: Internet Search Tools and Methods & Validate Sites. Tools and methods used for obtaining information from the Internet. Internet search tools and methods.  How to validate, authenticate, and  legally use information from the Internet. IE, Mozilla, google. Electronic communication and online safety: Recall components of electronic communication and rules of online safety. Components of electronic communication and rules of online safety.  Basic Set Theory: Basic definitions, Relations, Equivalence Relations Partition, Ordered Sets. Boolean Algebra & Lattices, Logic, Graph theory: Directed and Undirected graphs, Graph Isomorphism, Basic Graph Theorems, Matrices; Integer and Real matrices, Bo olean Matrices, Matrices mod m, Path matrices. Adjacency Vectors/Matrices: Path adjacency matrix, Numerical & Boolean Adjacency matrices. Applications to counting, Discrete Probability Generating Funct ions,",csc04 introduction discrete mathematics 2 unit c,computer appreciation experie nce common application software word processing business document publication document publication use business ms word open new document format document change font size type insert page number italicise boldface conversion pdf file equation creation cv header footnote mail merge table track change reference bibliography etc spreadsheet excel create new spreadsheet create record relate use f ormula macros format cell merg e cell split cell import text file conversion spreadsheet file comma separate file export pdf file chart graph business application etc desktop publishing business publication create use ms publisher use desktop publishing software create business publication internet internet search tools methods validate sites tool method use obtain information internet internet search tool method validate authenticate legally use information internet ie mozilla google electronic communication online safety recall component electronic communication rule online safety component electronic communication rule online safety basic set theory basic definition relations equivalence relations partition ordered sets boolean algebra lattices logic graph theory directed undirected graph graph isomorphism basic graph theorems matrices integer real matrix bo olean matrices matrices mod m path matrix adjacency vectors matrices path adjacency matrix numerical boolean adjacency matrix application counting discrete probability generating funct ion,csc04 introduction discrete mathematics 2 unit c computer appreciation experie nce common application software word processing business document publication document publication use business ms word open new document format document change font size type insert page number italicise boldface conversion pdf file equation creation cv header footnote mail merge table track change reference bibliography etc spreadsheet excel create new spreadsheet create record relate use f ormula macros format cell merg e cell split cell import text file conversion spreadsheet file comma separate file export pdf file chart graph business application etc desktop publishing business publication create use ms publisher use desktop publishing software create business publication internet internet search tools methods validate sites tool method use obtain information internet internet search tool method validate authenticate legally use information internet ie mozilla google electronic communication online safety recall component electronic communication rule online safety component electronic communication rule online safety basic set theory basic definition relations equivalence relations partition ordered sets boolean algebra lattices logic graph theory directed undirected graph graph isomorphism basic graph theorems matrices integer real matrix bo olean matrices matrices mod m path matrix adjacency vectors matrices path adjacency matrix numerical boolean adjacency matrix application counting discrete probability generating funct ion,0
CSC 205: OPERATING SYSTEM I (3 UNITS) - C ,"Introd uction: Definition of Operating systems, history of  Operating systems, Operating system structure -monolithic systems, layered systems, virtual machine, client server model processes: The process model , process state transitions, process control block, ope ration on processes, suspend and resume, Interrupt processing, nucleus, implementation of processes. inter -process communication; Race condition, critical section, mutual exclusion with busy waiting, s leep and wakeup, semaphores, event counters, monitor, m essage passing, equivalence of primitives, producer -consumer relationship, readers and writers problems, dining philosopher `s problem, sleeping barber problem. Process Scheduling; scheduling objective s, scheduling criteria, preemptive vs. non -preemptive, interval timer or interrupting clock,  deadline, FIFO, Round Robin, priorities, multiple queues, shortest job first, shortest remaining time, highest response ratio nest, fair share, policy versus mech anism, process management; job scheduling versus proces s scheduling, process scheduling, process scheduling policies, process scheduling algorithms, interrupts, deadlock, starvation  Real Memory Management early system; single -user contiguous scheme, fixed  partition, dynamic partition relocatable dynamic parti tion, relocatable dynamic partition Virtual Memory Management. Resent system; paged memory allocation. demand. page replacement policies.",csc 205 operating system 3 unit c,introd uction definition operating system history operating system operating system structure -monolithic system layered system virtual machine client server model process process model process state transition process control block ope ration process suspend resume interrupt processing nucleus implementation process inter -process communication race condition critical section mutual exclusion busy wait s leep wakeup semaphore event counter monitor m essage passing equivalence primitive producer -consumer relationship reader writer problem dining philosopher s problem sleep barber problem process scheduling scheduling objective s scheduling criterion preemptive vs. non -preemptive interval timer interrupting clock deadline fifo round robin priority multiple queue short job shortest remain time high response ratio nest fair share policy versus mech anism process management job scheduling versus proce s scheduling process scheduling process scheduling policy process scheduling algorithm interrupt deadlock starvation real memory management early system single -us contiguous scheme fix partition dynamic partition relocatable dynamic parti tion relocatable dynamic partition virtual memory management resent system page memory allocation demand page replacement policy,csc 205 operating system 3 unit c introd uction definition operating system history operating system operating system structure -monolithic system layered system virtual machine client server model process process model process state transition process control block ope ration process suspend resume interrupt processing nucleus implementation process inter -process communication race condition critical section mutual exclusion busy wait s leep wakeup semaphore event counter monitor m essage passing equivalence primitive producer -consumer relationship reader writer problem dining philosopher s problem sleep barber problem process scheduling scheduling objective s scheduling criterion preemptive vs. non -preemptive interval timer interrupting clock deadline fifo round robin priority multiple queue short job shortest remain time high response ratio nest fair share policy versus mech anism process management job scheduling versus proce s scheduling process scheduling process scheduling policy process scheduling algorithm interrupt deadlock starvation real memory management early system single -us contiguous scheme fix partition dynamic partition relocatable dynamic parti tion relocatable dynamic partition virtual memory management resent system page memory allocation demand page replacement policy,0
CSC 208: INTRODUCTION TO COMPUTER HARDWARE LABORATORY (2 UNITS ) - E ,"Identify and describe tools used for computer ser vice and explain how to use those tools safely; Identify and describe the various internal components of a computer, assemble a computer system, install an operating system; Describe the purpose of pre ventive maintenance and basic troubleshooting steps; Troubleshoot using system tools and diagnostic software. Hands -on labs and interactive learning tools which help students to develop critical thinking and complex problem -solving skills; Identify and describe the main components of laptops and portable devic es, basic preventive maintenance, and troubleshooting; Identify and describe the differences between printers and scanners, installation and configuration, basic preventive maintenance, and troubleshoo ting.",csc 208 introduction computer hardware laboratory 2 unit e,identify describe tool use computer ser vice explain use tool safely identify describe internal component computer assemble computer system install operate system describe purpose pre ventive maintenance basic troubleshooting step troubleshoot use system tool diagnostic software hand -on lab interactive learning tool help student develop critical thinking complex problem -solve skill identify describe main component laptop portable devic es basic preventive maintenance troubleshooting identify describe difference printer scanner installation configuration basic preventive maintenance troubleshoo ting,csc 208 introduction computer hardware laboratory 2 unit e identify describe tool use computer ser vice explain use tool safely identify describe internal component computer assemble computer system install operate system describe purpose pre ventive maintenance basic troubleshooting step troubleshoot use system tool diagnostic software hand -on lab interactive learning tool help student develop critical thinking complex problem -solve skill identify describe main component laptop portable devic es basic preventive maintenance troubleshooting identify describe difference printer scanner installation configuration basic preventive maintenance troubleshoo ting,0
CSC 212: COMPUTER ARCHITECTURE (3 UNITS) - C ,"Levels of machine design; gates, register and processor levels. Number systems and computer arithmetic, CPU design, instruction sets, von Neumann architecture, multiplication and division algorithms and i mplementation, floating point processors. Parallelism, multiprocessor etc. control unit design, hardwired and micro -programmed control. Memory design, hierarchical memory design, cache, associative and inter leaved memory.",csc 212 computer architecture 3 unit c,level machine design gate register processor level number system computer arithmetic cpu design instruction set von neumann architecture multiplication division algorithm mplementation float point processor parallelism multiprocessor etc control unit design hardwired micro -programme control memory design hierarchical memory design cache associative inter leave memory,csc 212 computer architecture 3 unit c level machine design gate register processor level number system computer arithmetic cpu design instruction set von neumann architecture multiplication division algorithm mplementation float point processor parallelism multiprocessor etc control unit design hardwired micro -programme control memory design hierarchical memory design cache associative inter leave memory,0
CSC 213: ALGORITHM DEVELOPMENT A ND APPLICATION (3 UNITS) – C   ,"The study of algorithm d esign with emphasis on efficient algorithms and effective algorithms desi gns techniques and complexity, program design, string processing; recursion, NP completeness and approximating algorithms for NP  – Complete Problems.  Algorithmic Strategies: Fundamental computing algorithms: Numerical algorithms, sequential and binary search algorithms; sorting algorithms, Binary Search tress, Hash tables, graphs & its representation, Greedy techniques, amortized a nalysis, approximatio n algorithms, cryptographic algorithms, distributed algorithms.",csc 213 algorithm development nd application 3 unit – c,study algorithm d esign emphasis efficient algorithm effective algorithm desi gn technique complexity program design string processing recursion np completeness approximate algorithm np – complete problems algorithmic strategy fundamental computing algorithm numerical algorithm sequential binary search algorithm sort algorithm binary search tress hash table graph representation greedy technique amortize nalysis approximatio n algorithm cryptographic algorithm distribute algorithm,csc 213 algorithm development nd application 3 unit – c study algorithm d esign emphasis efficient algorithm effective algorithm desi gn technique complexity program design string processing recursion np completeness approximate algorithm np – complete problems algorithmic strategy fundamental computing algorithm numerical algorithm sequential binary search algorithm sort algorithm binary search tress hash table graph representation greedy technique amortize nalysis approximatio n algorithm cryptographic algorithm distribute algorithm,0
CSC 215: SOFTWARE PRACTICE (2 UNITS)  ,"Information in the organization, DBMS Technology and concepts, entity relational analysis, the relational data m odel, structured Query language (SQL), Functional dependency diagrams, Normalization of data, client server database technologies, Data Integrity. What is Data Modeling: Conceptual & physical models, instances, attributes and identifie rs, Entity relationsh ip modeling and ERDs, Entity Relationship Diagramming,  Supertypes, Subtypes, and Business Rules, System development life cycle,  Project overview and getting started, Presentation project management, Final presentation components , Presentation.  General introduction to programming. Structured programming elements, Structured Design principles, abstraction, modality, Stepwise refinement, structured design techniques. Teaching of a Structured Program ming Language, Labora tory exercises in a Structured Programming Language. Focus on Visual Basic (VB) programming language. Data types. Events. GUI. IDE. Algorithm development, designing, coding, compilation, debugging and documentation. Real life applicati on development. E.g. games, business, science and Engineering. Students should be encouraged to develop and present any application within their interest areas.",csc 215 software practice 2 unit,information organization dbms technology concept entity relational analysis relational datum m odel structured query language sql functional dependency diagram normalization datum client server database technology data integrity data modeling conceptual physical model instance attribute identifie rs entity relationsh ip modeling erd entity relationship diagramming supertype subtypes business rules system development life cycle project overview getting start presentation project management final presentation component presentation general introduction programming structured programming element structured design principle abstraction modality stepwise refinement structured design technique teaching structured program ming language labora tory exercise structured programming language focus visual basic vb programming language datum type event gui ide algorithm development designing code compilation debugging documentation real life applicati development e.g. game business science engineering student encourage develop present application interest area,csc 215 software practice 2 unit information organization dbms technology concept entity relational analysis relational datum m odel structured query language sql functional dependency diagram normalization datum client server database technology data integrity data modeling conceptual physical model instance attribute identifie rs entity relationsh ip modeling erd entity relationship diagramming supertype subtypes business rules system development life cycle project overview getting start presentation project management final presentation component presentation general introduction programming structured programming element structured design principle abstraction modality stepwise refinement structured design technique teaching structured program ming language labora tory exercise structured programming language focus visual basic vb programming language datum type event gui ide algorithm development designing code compilation debugging documentation real life applicati development e.g. game business science engineering student encourage develop present application interest area,0
CSC 217: FUNDAMENTAL OF DIGITAL ELECTRONICS (2 UNITS) - R  ,"Voltage and current sources. kircho ff’s laws, linearity and super -position. Therein Norton theorems, steady, state response to sinusoidal excitation; impulse response, semi -conductors, bipolar and field effect transistors; Logic circuit design (gates, multivibrators, etc.) using semi -conduc tors materi als, integrated circuits, classification of IC circuits.",csc 217 fundamental digital electronics 2 unit r,voltage current source kircho ff law linearity super -position norton theorem steady state response sinusoidal excitation impulse response semi -conductor bipolar field effect transistor logic circuit design gate multivibrator etc use semi -conduc tor materi al integrated circuit classification ic circuit,csc 217 fundamental digital electronics 2 unit r voltage current source kircho ff law linearity super -position norton theorem steady state response sinusoidal excitation impulse response semi -conductor bipolar field effect transistor logic circuit design gate multivibrator etc use semi -conduc tor materi al integrated circuit classification ic circuit,0
CSC 218: FOUNDATION OF SEQUENTIAL PROGRAM (2 UNITS) - C ,"The relationships between H/L languages and the Computer Architecture that underlies their implementation: basic machine architectu re, assembl ers specification and translation of P/L Block Structured Languages, parameter passing mechanisms.",csc 218 foundation sequential program 2 unit c,relationship h l language computer architecture underlie implementation basic machine architectu assembl er specification translation p l block structured languages parameter pass mechanism,csc 218 foundation sequential program 2 unit c relationship h l language computer architecture underlie implementation basic machine architectu assembl er specification translation p l block structured languages parameter pass mechanism,0
CSC 222: ASSEMBLY LANGUAGE PROGRAMMING (2 UNITS)   - C   ,"Introduction to laboratory and review of lab policies; Hands -on experience on topics that are theore tically cov ered in the digital logic design course, basic logic gate experiments, combinational logic circuits experiments, and sequential logic circuits experiments. The experiments on all topics vary from functional troubleshooting to gate and block leve l design im plementation. The Laboratory experiments should cover the following topics: IC families, TTL electrical characteristics, DeMorgan’s theorem, Logic circuit simplification, Design of combinational circuit, Introduction to flip -flops, Application o f flip-flops, Memory systems and Programmable logic.  Elementary data items. Structured data item, array, ordered list, sparse matrices, stacks, queues sequences. Trees, simple sorting and searching techniques. Tree structures and graphs structures; polish notation, storage management and garbage collection. Hash coding, recursive programming, use of macros.   Binary number systems and other syste ms. Types of encoding, modes of representations of data e.g. integer, floating, package decimal, character etc. Basic structure of the computer. Instruction set and corresponding machine language modes of addressing. Instruction execution and flow of macro s, linkages, interfacing, assembling a language program with programs in the other languages, necessary aspect of job control languages.",csc 222 assembly language programming 2 unit c,introduction laboratory review lab policy hands -on experience topic theore tically cov ere digital logic design course basic logic gate experiment combinational logic circuit experiment sequential logic circuit experiment experiment topic vary functional troubleshooting gate block leve l design m plementation laboratory experiment cover follow topic ic family ttl electrical characteristic demorgan theorem logic circuit simplification design combinational circuit introduction flip -flop application o f flip flop memory system programmable logic elementary datum item structured data item array order list sparse matrix stack queue sequence tree simple sorting search technique tree structure graph structure polish notation storage management garbage collection hash coding recursive programming use macro binary number system syste ms types encoding mode representation datum e.g. integer float package decimal character etc basic structure computer instruction set corresponding machine language mode addressing instruction execution flow macro s linkage interface assemble language program program language necessary aspect job control language,csc 222 assembly language programming 2 unit c introduction laboratory review lab policy hands -on experience topic theore tically cov ere digital logic design course basic logic gate experiment combinational logic circuit experiment sequential logic circuit experiment experiment topic vary functional troubleshooting gate block leve l design m plementation laboratory experiment cover follow topic ic family ttl electrical characteristic demorgan theorem logic circuit simplification design combinational circuit introduction flip -flop application o f flip flop memory system programmable logic elementary datum item structured data item array order list sparse matrix stack queue sequence tree simple sorting search technique tree structure graph structure polish notation storage management garbage collection hash coding recursive programming use macro binary number system syste ms types encoding mode representation datum e.g. integer float package decimal character etc basic structure computer instruction set corresponding machine language mode addressing instruction execution flow macro s linkage interface assemble language program program language necessary aspect job control language,0
CSC 223: INTRODUCTION TO INFORMATION PROCESSING METHODS (2 UNITS) - C ,"Information systems, management information syst em, other information retrieval. Overview of file organization, data structure, sorting and merging, construction and maintenance of search trees. Decision tables, structure of decision tables.",csc 223 introduction information processing methods 2 unit c,information system management information syst em information retrieval overview file organization datum structure sort merging construction maintenance search tree decision table structure decision table,csc 223 introduction information processing methods 2 unit c information system management information syst em information retrieval overview file organization datum structure sort merging construction maintenance search tree decision table structure decision table,0
"CSC 226: OBJECT -ORIENTED PROGRAMMING I, C++ (3 UNITS) - C  ","Introduction to C: Structured Programming elements, structured design principles, abstraction modularity, stepwise refinement, structured design techniques. Teaching of a structured programming language such as C.  Basic object -oriented Programming concepts , objects, inheritance, polymorphism, data abstraction, tools for developing, compiling, interrupting and debugging an object -oriented programming language. Laboratory exercises in an object -oriented programming language. C++",csc 226 object -oriented programming c++ 3 unit c,introduction c structured programming element structured design principle abstraction modularity stepwise refinement structured design technique teaching structured programming language c. basic object -oriente programming concept object inheritance polymorphism datum abstraction tool develop compile interrupting debug object -oriented programming language laboratory exercise object -oriente programming language c++,csc 226 object -oriented programming c++ 3 unit c introduction c structured programming element structured design principle abstraction modularity stepwise refinement structured design technique teaching structured programming language c. basic object -oriente programming concept object inheritance polymorphism datum abstraction tool develop compile interrupting debug object -oriented programming language laboratory exercise object -oriente programming language c++,0
CSC 228: SOFTWARE PRACTICE II  (2 UNITS)  ,"Programming language; Basic elements, Data types, Control structures and Program design; Basic I/O concepts; Arrays; Procedures, Functions and structured programming; Modules; Dynamic Memory Allocation; Programming exercises using current version of FORTRA N language with emphasis on science application problems. Note that this course is the same as CSC 104, and hence only to be taken by non -computer science students",csc 228 software practice ii 2 unit,programming language basic element data type control structure program design basic o concept arrays procedure functions structured programming modules dynamic memory allocation programming exercise use current version fortra n language emphasis science application problem note course csc 104 non -computer science student,csc 228 software practice ii 2 unit programming language basic element data type control structure program design basic o concept arrays procedure functions structured programming modules dynamic memory allocation programming exercise use current version fortra n language emphasis science application problem note course csc 104 non -computer science student,0
SCIENCES  (2 UNITS )  ,"Databases: Understand database tables, queries, forms, and reports and business applications. Implementation using Access db. Students should be encourage to create database using access. Powerpoint presentations: Multimedia presentation softwa re. Apply  procedures to use presentation software in business. Business uses of  Presentation software and methods of distribution. Apply procedures to develop multimedia presentations used in business.  Internet banking and  Online transactions component o f Interne t banking. Password Management. Computerization and cashless economy.  Computer virus: Computer Virus, Types of virus, Different Antivirus, Different types of attack malware, spyware, Firewall, updates etc   CSC 303: OBJECT -ORIENTED PROGRAMMING II, Java (3 U NITS) - C  The focus of the course is on Java. Basic OOP Concepts: Classes, Objects, inheritance, polymorphism, Data Abstraction, Tools for developing, Compiling, interpreting and debugging, Java Programs, Java Syntax and data objects, operators. Central f low constructs, objects and classes programming, Arrays, methods. Exceptions, Applets and the Abstract, OLE, Persistence, Window or Unix Toolkit, Laboratory exercises in an OOP Language.",science 2 unit,database understand database table query form report business application implementation use access db student encourage create database use access powerpoint presentation multimedia presentation softwa apply procedure use presentation software business business use presentation software method distribution apply procedure develop multimedia presentation use business internet banking online transaction component o f interne t banking password management computerization cashless economy computer virus computer virus types virus different antivirus different type attack malware spyware firewall update etc csc 303 object -oriented programming ii java 3 u nits c focus course java basic oop concepts class objects inheritance polymorphism data abstraction tools develop compiling interpreting debugging java programs java syntax datum object operator central f low construct object class programming arrays method exception applets abstract ole persistence window unix toolkit laboratory exercise oop language,science 2 unit database understand database table query form report business application implementation use access db student encourage create database use access powerpoint presentation multimedia presentation softwa apply procedure use presentation software business business use presentation software method distribution apply procedure develop multimedia presentation use business internet banking online transaction component o f interne t banking password management computerization cashless economy computer virus computer virus types virus different antivirus different type attack malware spyware firewall update etc csc 303 object -oriented programming ii java 3 u nits c focus course java basic oop concepts class objects inheritance polymorphism data abstraction tools develop compiling interpreting debugging java programs java syntax datum object operator central f low construct object class programming arrays method exception applets abstract ole persistence window unix toolkit laboratory exercise oop language,0
CSC 319: COMPILER CONSTRUCTION (3 UNITS) - C ,"Review of com pilers as semblers and interpreters, structure and functional aspects of a typical compiler, syntax semantics and pragatics, functional relationship between lexical analysis, expression analysis and code generation. Internal form of course programme. Use of  a standa rd compiler (FORTRAN). Grammars and languages, recognizers, Top -down and bottom -up language Run -time storage Organization, The use of display in run -time storage Organization. The use of display in run time storage allocation. LR grammars and anal ysers. Co nstruction of LR table. Organisation of symbol tablets. Allocation of storage to run -time variables. Code generation. Optimisation/Translator with systems.",csc 319 compiler construction 3 unit c,review com piler sembler interpreter structure functional aspect typical compiler syntax semantic pragatic functional relationship lexical analysis expression analysis code generation internal form course programme use standa rd compiler fortran grammar language recognizer -down -up language run -time storage organization use display run -time storage organization use display run time storage allocation lr grammar anal yser co nstruction lr table organisation symbol tablet allocation storage run -time variable code generation optimisation translator system,csc 319 compiler construction 3 unit c review com piler sembler interpreter structure functional aspect typical compiler syntax semantic pragatic functional relationship lexical analysis expression analysis code generation internal form course programme use standa rd compiler fortran grammar language recognizer -down -up language run -time storage organization use display run -time storage organization use display run time storage allocation lr grammar anal yser co nstruction lr table organisation symbol tablet allocation storage run -time variable code generation optimisation translator system,0
CSC 323: EVOLUTIONARY COMPUTATION (2 UNITS)  - E ,"Introduction to Evolutionary Computation.  Genetic Representation, search operators, selection schemes and selection pressure. Fitness Landscapes e.g. Configuration spaces, Properties of landscapes. Local optima; Basins. Multi -population methods. Co -evolution. Niching and Speciation. M ulti-objecti ve Evolutionary Optimisation. Dynamic optimisation Genetic Programming. A case study of Evolutionary methods. Evolving learning -machines, e.g. Neural Networks or Learning Classifier Systems.",csc 323 evolutionary computation 2 unit e,introduction evolutionary computation genetic representation search operator selection scheme selection pressure fitness landscapes e.g. configuration space properties landscape local optima basins multi -population method co -evolution niching speciation m ulti objecti ve evolutionary optimisation dynamic optimisation genetic programming case study evolutionary method evolve learn -machine e.g. neural networks learning classifier systems,csc 323 evolutionary computation 2 unit e introduction evolutionary computation genetic representation search operator selection scheme selection pressure fitness landscapes e.g. configuration space properties landscape local optima basins multi -population method co -evolution niching speciation m ulti objecti ve evolutionary optimisation dynamic optimisation genetic programming case study evolutionary method evolve learn -machine e.g. neural networks learning classifier systems,0
CSC 325: OPERATING SYSTEM II (3 UNITS) - C ,"File Syst em: Naming, Structure, Types, Access, Attributes, Operating Memory -mapped. Directories: Hierarchical part names, operations, implementation, shared files, disk space management, file system reliability, file system performance. File security: environment, security fla ws, internet worms, security attacks, design principles in security, user authentication. Protection mechanisms: protection domain, Access control lists, capabilities, protection model, covert channels. Input /output : I/O devices, Device controllers, Dire ct Memory  Access, Goals of I/O software, Interrupt handlers, Device drivers, Device Independent I/O software, User -Space I/O software, Disks Hardware, Disk arm scheduling algorithms, error handling, Track -at-a-Time caching, Ram disks, clocks: Clock Hardwa re, clock software. Terminal: Hardware, Memory -Mapped Terminals, Input software, output software. Case study: UNIX, OS/2, MSDOS and Open systems. A study of concurrency and writing concurrent programs, emphasis will be on language constructs us ed to expres s and control concurrency. Concurrent programming techniques an styles. Co -writers, mutual exclusion, semaphones, deadlock, high level concurrency, writer process communication and process structuring, laboratory exercises using a basic concurr ent programs .",csc 325 operate system ii 3 unit c,file syst em naming structure types access attributes operate memory -mapped directory hierarchical operation implementation share file disk space management file system reliability file system performance file security environment security fla ws internet worm security attack design principle security user authentication protection mechanism protection domain access control list capability protection model covert channel input /output o device device controller dire ct memory access goal o software interrupt handler device driver device independent o software user -space o software disks hardware disk arm scheduling algorithm error handling track -at time cache ram disk clock clock hardwa clock software terminal hardware memory -mapped terminals input software output software case study unix os/2 msdos open system study concurrency write concurrent program emphasis language construct ed expre s control concurrency concurrent programming technique style co -writer mutual exclusion semaphone deadlock high level concurrency writer process communication process structuring laboratory exercise use basic concurr ent program,csc 325 operate system ii 3 unit c file syst em naming structure types access attributes operate memory -mapped directory hierarchical operation implementation share file disk space management file system reliability file system performance file security environment security fla ws internet worm security attack design principle security user authentication protection mechanism protection domain access control list capability protection model covert channel input /output o device device controller dire ct memory access goal o software interrupt handler device driver device independent o software user -space o software disks hardware disk arm scheduling algorithm error handling track -at time cache ram disk clock clock hardwa clock software terminal hardware memory -mapped terminals input software output software case study unix os/2 msdos open system study concurrency write concurrent program emphasis language construct ed expre s control concurrency concurrent programming technique style co -writer mutual exclusion semaphone deadlock high level concurrency writer process communication process structuring laboratory exercise use basic concurr ent program,0
CSC 327: DATABASE MANAGEMENT SYSTEM II (3 UNITS) - C ,"Rational Databases: Mapping conceptual schema to relational Schema; Database Query  Languages (SQL) Concept of Functional dependencies & Multi Valued dependencies. Transaction processing; Distributed databases. Third normal form, Arcs, Hierarchies, and Historical Data, ERD Project Presentation, Drawing Conventions and Generic Modeling, Transforming from Conceptual Model to Physical Model.",csc 327 database management system ii 3 unit c,rational database mapping conceptual schema relational schema database query languages sql concept functional dependency multi valued dependency transaction processing distribute database normal form arcs hierarchies historical data erd project presentation drawing conventions generic modeling transform conceptual model physical model,csc 327 database management system ii 3 unit c rational database mapping conceptual schema relational schema database query languages sql concept functional dependency multi valued dependency transaction processing distribute database normal form arcs hierarchies historical data erd project presentation drawing conventions generic modeling transform conceptual model physical model,0
